"Format","AiM CSV File"
"Session","241008_10:00PM"
"Vehicle","SIK Session 1"
"Racer","Jackson"
"Championship",""
"Comment",""
"Date","Wednesday, October 9, 2024"
"Time","1:17 AM"
"Sample Rate","20"
"Duration","550"
"Segment","Session"
"Beacon Markers","550"
"Segment Times","9:10.000"

"Time","Predictive Time","Best Run Diff","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Internal Battery"
"s"," "," ","g","g","g","deg/s","deg/s","deg/s","V"

,"0","0","-0.03","0.00","-1.02","-0.1","-0.0","0.0","3.9"
,"0","0","-0.00","0.02","-1.01","0.0","-0.1","-0.1","3.9"
,"0","0","0.01","0.03","-1.00","-0.0","0.1","-0.0","3.9"
,"0","0","0.02","0.03","-0.99","-0.0","0.1","-0.0","3.9"
,"0","0","0.01","0.01","-0.98","-0.1","-0.0","0.0","3.9"
,"0","0","-0.01","-0.01","-1.00","-0.1","0.2","0.1","3.9"
,"0","0","-0.01","0.02","-1.03","-0.1","-0.3","0.0","3.9"
,"0","0","0.00","0.03","-1.02","0.1","-0.1","-0.0","3.9"
,"0","0","-0.01","-0.01","-0.99","0.0","0.0","-0.0","3.9"
,"0","0","0.00","-0.05","-1.00","0.0","0.1","-0.1","3.9"
,"0","0","-0.01","-0.03","-1.01","0.0","0.1","-0.1","3.9"
,"0","0","-0.03","-0.03","-1.01","-0.2","-0.6","0.2","3.9"
,"0","0","-0.03","-0.05","-1.00","-0.1","-2.6","1.9","3.9"
,"0","0","-0.03","-0.03","-1.00","-0.2","-2.3","1.2","3.9"
,"0","0","-0.02","0.01","-1.01","-0.1","-0.7","0.2","3.9"
,"0","0","-0.01","-0.00","-1.00","0.0","-0.0","-0.0","3.9"
,"0","0","0.01","-0.03","-0.98","-0.2","-0.3","0.0","3.9"
,"0","0","-0.01","-0.03","-0.97","-0.0","-0.1","-0.0","3.9"
,"0","0","-0.09","-0.01","-0.98","0.0","0.2","-0.0","3.9"
,"0","0","-0.07","-0.01","-1.00","0.0","0.2","-0.0","3.9"
,"0","0","-0.03","0.02","-1.02","-0.3","-0.6","0.1","3.9"
,"0","0","-0.01","0.07","-1.05","-0.1","-0.2","-0.0","3.9"
,"0","0","-0.01","0.04","-1.03","0.0","0.1","-0.1","3.9"
,"0","0","-0.04","0.02","-0.99","0.0","0.2","-0.1","3.9"
,"0","0","-0.05","0.03","-0.99","-0.1","-0.0","0.0","3.9"
,"0","0","-0.02","0.03","-1.03","-0.1","-0.2","-0.0","3.9"
,"0","0","-0.01","-0.06","-1.02","-0.6","-5.1","-0.1","3.9"
,"0","0","-0.01","-0.08","-1.02","-0.3","-5.1","-0.9","3.9"
,"0","0","-0.02","-0.08","-1.01","0.5","3.3","-1.2","3.9"
,"0","0","-0.03","-0.07","-0.99","0.5","8.9","-0.4","3.9"
,"0","0","-0.04","-0.08","-0.96","-0.7","1.4","1.2","3.9"
,"0","0","-0.01","0.01","-0.92","-1.6","-10.1","0.4","3.9"
,"0","0","0.02","0.06","-0.90","0.0","-3.8","-1.3","3.9"
,"0","0","0.03","0.07","-0.89","0.9","8.8","-0.9","3.9"
,"0","0","0.06","0.09","-0.91","-0.9","0.5","1.1","3.9"
,"0","0","0.05","0.11","-0.93","-0.7","-4.7","-0.6","3.9"
,"0","0","0.06","0.09","-0.91","0.4","3.4","-1.4","3.9"
,"0","0","0.06","0.01","-0.92","-1.1","-1.9","0.7","3.9"
,"0","0","0.04","-0.05","-0.93","-0.8","-3.6","0.3","3.9"
,"0","0","0.03","-0.09","-0.94","-0.1","-0.6","-0.0","3.9"
,"0","0","-0.04","-0.13","-0.98","-0.0","0.1","-0.0","3.9"
,"0","0","-0.15","-0.04","-1.03","-0.1","0.0","0.0","3.9"
,"0","0","-0.08","0.04","-1.06","-0.6","-1.9","1.0","3.9"
,"0","0","-0.02","0.08","-1.06","-0.9","-3.2","1.6","3.9"
,"0","0","0.07","0.08","-1.02","-0.4","-1.3","0.6","3.9"
,"0","0","0.09","0.06","-0.95","-0.1","-0.3","0.1","3.9"
,"0","0","0.11","0.03","-0.93","-0.0","-0.0","-0.0","3.9"
,"0","0","0.03","-0.02","-0.95","0.0","0.1","-0.0","3.9"
,"0","0","-0.09","-0.03","-1.02","0.0","0.0","-0.0","3.9"
,"0","0","-0.03","0.01","-1.05","-0.0","-0.1","-0.0","3.9"
,"0","0","0.07","0.05","-1.02","-0.0","0.1","-0.0","3.9"
,"0","0","0.11","0.03","-0.97","-0.0","0.0","-0.0","3.9"
,"0","0","0.07","-0.01","-0.96","-0.3","1.1","-1.1","3.9"
,"0","0","-0.07","-0.00","-0.99","-0.9","-1.1","0.2","3.9"
,"0","0","-0.16","0.04","-1.04","-0.7","-1.5","0.7","3.9"
,"0","0","-0.10","0.09","-1.04","-0.2","-0.4","0.2","3.9"
,"0","0","0.00","0.05","-0.98","-0.1","-0.0","-0.0","3.9"
,"0","0","0.07","-0.05","-0.96","-0.0","-0.0","-0.1","3.9"
,"0","0","0.03","-0.08","-0.98","-0.0","-0.1","-0.1","3.9"
,"0","0","-0.04","-0.06","-1.02","0.0","-0.1","-0.1","3.9"
,"0","0","-0.01","0.02","-1.03","-0.0","-0.0","-0.0","3.9"
,"0","0","0.03","0.04","-0.97","-0.1","-0.0","-0.0","3.9"
,"0","0","0.07","-0.00","-0.93","-0.0","0.1","-0.0","3.9"
,"0","0","0.01","-0.03","-0.96","-0.0","0.1","-0.0","3.9"
,"0","0","-0.09","0.01","-1.02","-0.0","0.1","-0.0","3.9"
,"0","0","-0.04","0.05","-1.06","-0.1","-0.0","0.0","3.9"
,"0","0","0.01","0.08","-1.03","-0.1","0.1","-0.0","3.9"
,"0","0","0.05","0.02","-0.96","-0.0","0.1","-0.0","3.9"
,"0","0","0.04","-0.04","-0.96","-0.0","-0.0","-0.0","3.9"
,"0","0","-0.05","-0.05","-1.00","-0.1","-0.0","-0.0","3.9"
,"0","0","-0.09","-0.02","-1.03","-0.0","0.1","-0.0","3.9"
,"0","0","-0.04","0.05","-1.03","-0.0","0.0","-0.0","3.9"
,"0","0","0.02","0.05","-0.96","-0.1","-0.0","0.0","3.9"
,"0","0","0.03","0.02","-0.92","-0.1","-0.0","-0.0","3.9"
,"0","0","0.06","-0.03","-0.92","-0.0","0.1","-0.0","3.9"
,"0","0","0.01","-0.07","-0.96","-0.0","-0.0","-0.0","3.9"
,"0","0","-0.12","0.00","-1.03","-0.0","-0.1","-0.0","3.9"
,"0","0","-0.17","0.06","-1.06","-0.0","-0.1","-0.0","3.9"
,"0","0","-0.09","0.09","-1.05","-0.1","0.0","-0.0","3.9"
,"0","0","0.12","0.09","-0.97","-0.1","-0.0","0.0","3.9"
,"0","0","0.14","0.03","-0.93","-0.1","0.1","0.0","3.9"
,"0","0","0.11","0.05","-0.93","-0.0","0.1","0.0","3.9"
,"0","0","0.07","0.00","-0.90","-0.0","0.1","0.0","3.9"
,"0","0","0.04","-0.14","-0.92","-0.0","0.1","-0.0","3.9"
,"0","0","0.00","-0.10","-1.00","0.1","0.3","-0.0","3.9"
,"0","0","0.02","0.03","-1.05","1.3","4.9","-0.3","3.9"
,"0","0","0.06","0.07","-1.05","-0.1","1.5","0.1","3.9"
,"0","0","0.04","0.05","-0.99","-0.4","-0.9","-0.6","3.9"
,"0","0","0.06","-0.02","-0.94","0.1","0.2","-0.3","3.9"
,"0","0","0.07","-0.09","-0.95","0.1","-0.6","0.5","3.9"
,"0","0","0.01","-0.12","-0.98","0.4","1.1","0.8","3.9"
,"0","0","-0.05","-0.03","-1.04","-1.2","-4.3","1.4","3.9"
,"0","0","-0.04","0.05","-1.04","-2.8","-10.2","1.7","3.9"
,"0","0","0.02","0.07","-1.00","-0.5","-3.4","0.8","3.9"
,"0","0","0.03","0.05","-0.95","-0.2","-0.9","0.4","3.9"
,"0","0","0.05","-0.02","-0.93","-1.9","-5.4","0.3","3.9"
,"0","0","-0.01","-0.05","-0.97","-1.0","-2.7","0.1","3.9"
,"0","0","-0.08","-0.06","-1.01","-0.2","-0.5","0.0","3.9"
