,rpm,duty_cycle_now,avg_motor_current,avg_input_current
201,7747.0,0.54,-52.87,-22.71
202,7701.0,0.541,-52.02,-22.25
203,7621.0,0.521,-51.03,-21.6
204,7539.0,0.515,-49.52,-20.79
205,7444.0,0.512,-48.04,-19.95
206,7350.0,0.519,-46.27,-19.03
207,7261.0,0.491,-44.45,-18.1
208,7171.0,0.499,-43.03,-17.34
209,7079.0,0.481,-41.35,-16.49
210,6989.0,0.482,-39.88,-15.74
211,6904.0,0.474,-38.37,-15.0
212,6825.0,0.474,-36.99,-14.33
213,6745.0,0.453,-35.81,-13.73
214,6674.0,0.465,-34.52,-13.13
215,6603.0,0.449,-33.49,-12.61
216,6535.0,0.448,-32.5,-12.13
217,6467.0,0.435,-31.49,-11.65
218,6405.0,0.445,-30.62,-11.24
219,6341.0,0.442,-29.73,-10.81
220,6285.0,0.443,-28.84,-10.41
221,6232.0,0.435,-28.05,-10.06
222,6174.0,0.427,-27.32,-9.71
223,6124.0,0.425,-26.63,-9.4
224,6075.0,0.422,-26.0,-9.12
225,6026.0,0.411,-25.32,-8.82
226,5981.0,0.403,-24.82,-8.59
227,5940.0,0.412,-24.23,-8.33
228,5901.0,0.407,-23.78,-8.13
229,5823.0,0.396,-23.21,-7.83
230,5791.0,0.399,-22.45,-7.55
231,5760.0,0.395,-22.0,-7.36
232,5735.0,0.399,-21.6,-7.2
233,5704.0,0.394,-21.38,-7.09
234,5675.0,0.387,-21.02,-6.95
235,5654.0,0.393,-20.71,-6.82
236,5629.0,0.392,-20.51,-6.73
237,5606.0,0.381,-20.21,-6.6
238,5583.0,0.377,-20.03,-6.52
239,5563.0,0.381,-19.77,-6.42
240,5545.0,0.383,-19.5,-6.31
241,5525.0,0.378,-19.36,-6.25
242,5510.0,0.38,-19.25,-6.19
243,5491.0,0.376,-18.94,-6.07
244,5479.0,0.376,-18.8,-6.02
245,5449.0,0.381,-18.72,-5.96
246,5438.0,0.378,-18.39,-5.85
247,5428.0,0.371,-18.26,-5.79
248,5420.0,0.374,-18.2,-5.77
249,5407.0,0.371,-18.07,-5.71
250,5397.0,0.366,-18.04,-5.7
251,5389.0,0.367,-17.92,-5.65
252,5384.0,0.375,-17.73,-5.59
253,5378.0,0.376,-17.69,-5.57
254,5371.0,0.373,-17.62,-5.54
255,5366.0,0.375,-17.55,-5.51
256,5359.0,0.366,-17.56,-5.51
257,5352.0,0.373,-17.48,-5.48
258,5347.0,0.38,-17.46,-5.46
259,5341.0,0.372,-17.34,-5.42
260,5337.0,0.374,-17.3,-5.41
261,5332.0,0.369,-17.31,-5.4
262,5330.0,0.376,-17.19,-5.37
263,5327.0,0.368,-17.16,-5.35
264,5318.0,0.36,-17.24,-5.37
265,5316.0,0.373,-17.15,-5.34
266,5314.0,0.366,-17.14,-5.34
267,5309.0,0.37,-17.11,-5.32
268,5309.0,0.364,-17.02,-5.3
269,5305.0,0.363,-17.02,-5.29
270,5305.0,0.371,-16.99,-5.28
271,5304.0,0.37,-17.02,-5.29
272,5299.0,0.37,-16.9,-5.25
273,5296.0,0.358,-16.93,-5.26
274,5295.0,0.379,-16.91,-5.26
275,5293.0,0.37,-16.9,-5.24
276,5294.0,0.362,-16.86,-5.23
277,5292.0,0.371,-16.9,-5.24
278,5292.0,0.363,-16.84,-5.22
279,5292.0,0.373,-16.84,-5.22
280,5289.0,0.371,-16.88,-5.23
281,5288.0,0.36,-16.77,-5.2
282,5286.0,0.366,-16.78,-5.2
283,5288.0,0.372,-16.8,-5.21
284,5287.0,0.368,-16.83,-5.22
285,5285.0,0.356,-16.83,-5.21
286,5282.0,0.369,-16.8,-5.2
287,5281.0,0.361,-16.79,-5.2
288,5281.0,0.361,-16.73,-5.18
289,5283.0,0.365,-16.78,-5.2
290,5281.0,0.359,-16.78,-5.2
291,5280.0,0.365,-16.77,-5.19
292,5282.0,0.362,-16.74,-5.18
